Company_Name,Category,Product_Name
Advantech,Switches,EKI-2528PAI-AE
Advantech,Switches,EKI-2701HPI-AE
Advantech,Switches,EKI-2701PSI-AE
Advantech,Switches,EKI-2706G-1GFP-AE
Advantech,Switches,EKI-2726FHPI-AE
Advantech,Switches,EKI-5624PI-AE
Advantech,Switches,EKI-5729PI-AE
Advantech,Switches,EKI-7428G-4CPI-AE
Advantech,Switches,EKI-7710E-2CP-AE
Advantech,Switches,EKI-7710E-2CPI-AE
Advantech,Switches,EKI-7710G-2CPI-AE
Advantech,Switches,EKI-7712E-4FP-AE
Advantech,Switches,EKI-7712E-4FPI-AE
Advantech,Gateway,EKI-1242ECMS-A
Advantech,Gateway,EKI-1242EIMS-A
Advantech,Gateway,EKI-1242PNMS-A
Advantech,PLC,ADAM-3600-C2GL1A1E
Advantech,PLC,ADAM-5000/485-AE
Advantech,PLC,ADAM-5000/TCP-CE
Advantech,PLC,ADAM-5000E-AE
Advantech,PLC,ADAM-5000L/TCP-BE
Advantech,PLC,ADAM-5560KW-AE
Advantech,PLC,ADAM-5630E-AE
Advantech,PLC,APAX-5580-433AE
Advantech,PLC,APAX-5580-4C3AE
Advantech,PLC,APAX-5620KW-AE
Advantech,PLC,APAX-5343-AE
Advantech,PLC,APAX-5343E-AE
Advantech,PC,EPC-T22855A-00Y0E
Advantech,PC,EPC-T2285CA-00Y1E
Rockwell Automation,HMI,PanelView 5000
Rockwell Automation,HMI,PanelView Plus 7
Rockwell Automation,HMI,PanelView Plus 6
Rockwell Automation,HMI,2711R PanelView 800
Rockwell Automation,DCS,PlantPAx 5.0
Rockwell Automation,PLC,ControlLogix 5580
Rockwell Automation,PLC,ControlLogix 5570 
Rockwell Automation,PLC,SoftLogix
Rockwell Automation,PC,VersaView 5400
Rockwell Automation,PC,6177 Standard
Rockwell Automation,PC,6181P
Rockwell Automation,PC,6300P Panel PC
Rockwell Automation,PC,6300B Box PC
Yokogawa,PLC,FA-M3
Yokogawa,PLC,FCN-500
Yokogawa,RTU,FCN-RTU
Yokogawa,PC,e-RT3 Plus
OPTO22,PLC,GRV-EPIC-PR1
OPTO22,PLC,SNAP-PAC-S1
OPTO22,PLC,SNAP-PAC-R1
OPTO22,PLC,SNAP-PAC-R2
OPTO22,PLC,SNAP-PACLC
OPTO22,PLC,SNAP-PAC-S2
OPTO22,PLC,SNAP-PAC-R1-FM
OPTO22,PLC,SNAP-PAC-R2-FM
OPTO22,PLC,SNAP-PAC-S1-FM
OPTO22,PLC,SNAP-PAC-ROK
OPTO22,PLC,SOFTPAC
OPTO22,PLC,SNAP-PAC-R1-B
OPTO22,PLC,GRV-EPIC-LC
Adcon Telemetry,RTU,RTU A760  
Adcon Telemetry,RTU,RTUI A764
Adcon Telemetry,RTU,RTU A765
Adcon Telemetry,RTU,A753 addWAVE
Adcon Telemetry,RTU,A751 addRELAY
Adcon Telemetry,RTU,A723 addIT
Adcon Telemetry,RTU,A724 addSWITCH
Motorola,RTU,ACE3600
Motorola,RTU,ACE1000
Unitronics,PLC,HMI,Vision 1040
Unitronics,PLC,HMI,Vision 1210
Unitronics,PLC,HMI,Vision 700
Unitronics,PLC,HMI,Vision 570
Unitronics,PLC,HMI,Vision 560
Unitronics,PLC,HMI,Vision 430
Unitronics,PLC,HMI,Vision 350
Unitronics,PLC,HMI,Vision 130
